,title,author,release year,synopsis,book length,rating,number of ratings
920,"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,2010,,,4.17,97457
921,"Love Story (Love Story, #1)",Erich Segal,1970,,,3.64,57475
922,"The Bridgertons: Happily Ever After (Bridgertons, #1.5-8.5; 8.6)",Julia Quinn,2013,,,4.02,29594
923,A Very Large Expanse of Sea (Hardcover),Tahereh Mafi,2018,"It’s 2002, a year after 9/11. It’s an extremely turbulent time politically, but especially so for someone like Shirin, a sixteen-year-old Muslim girl who’s tired of being stereotyped.Shirin is never surprised by how horrible people can be. She’s tired of the rude stares, the degrading comments - even the physical violence - she endures as a result of her race, her religion",310,4.13,51694
924,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,2022,"Bryce Quinlan and Hunt Athalar are trying to get back to normal―they may have saved Crescent City, but with so much upheaval in their lives lately, they mostly want a chance to relax. Slow down. Figure out what the future holds.The Asteri have kept their word so far, leaving Bryce and Hunt alone. But with the rebels chipping away at the Asteri’s power, the threat the ruler",805,4.52,151116
925,"The Perfect Play (Play by Play, #1)",Jaci Burton,2011,,,3.9,38713
926,"Slightly Dangerous (Bedwyn Saga, #6)",Mary Balogh,2004,"BONUS: This edition contains an excerpt from Mary Balogh's The Secret Mistress.All of London is abuzz over the imminent arrival of Wulfric Bedwyn, the reclusive, cold-as-ice Duke of Bewcastle, at the most glittering social event of the season. Some whisper of a tragic love affair. Others say he is so aloof and passionless that not even the greatest beauty could capture his",365,4.21,19432
927,"Until November (Until, #1)",Aurora Rose Reynolds,2013,,,4.09,50523
928,"The Day of the Duchess (Scandal & Scoundrel, #3)",Sarah MacLean,2017,"The one woman he will never forget…Malcolm Bevingstoke, Duke of Haven, has lived the last three years in self-imposed solitude, paying the price for a mistake he can never reverse and a love he lost forever. The dukedom does not wait, however, and Haven requires an heir, which means he must find himself a wife by summer’s end. There is only one problem—he already has one.T",400,3.92,14031
929,"Tempting the Best Man (Gamble Brothers, #1)",J. Lynn,2012,"Madison Daniels has worshiped her brother's best friend since they were kids. Everyone thinks she and Chase Gamble would make the perfect couple, but there are two major flaws in their logic. 1) Chase has sworn off relationships of any kind and 2) after blurring the line between friends and lovers for one night four years ago, they can't stop bickering. Forced together for",172,3.69,33510
930,"Float Plan (Beck Sisters, #1)",Trish Doller,2021,"Critically acclaimed author Trish Doller's unforgettable and romantic adult debut about setting sail, starting over, and finding yourself...Since the loss of her fiancé, Anna has been shipwrecked by grief—until a reminder goes off about a trip they were supposed to take together. Impulsively, Anna goes to sea in their sailboat, intending to complete the voyage alone.But af",272,4.0,21703
931,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,1999,"Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, Bridget Jones searches for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice (""'I'm just calling to say in the potty! In the potty! Well, do it in Daddy's hand, then!'""). She experiences a zeitgeist-esque Spiritual Epiphany somewhere betw",352,3.6,107531
932,"Us (Him, #2)",Sarina Bowen,2016,"Can your favorite hockey players finish their first season together undefeated?Five months in, NHL forward Ryan Wesley is having a record-breaking rookie season. He’s living his dream of playing pro hockey and coming home every night to the man he loves—Jamie Canning, his longtime best friend turned boyfriend. There’s just one problem: the most important relationship of hi",322,4.32,26412
933,Dumplin' (Dumplin' #1),Julie   Murphy,2015,"Self-proclaimed fat girl Willowdean Dickson (dubbed “Dumplin’” by her former beauty queen mom) has always been at home in her own skin. Her thoughts on having the ultimate bikini body? Put a bikini on your body. With her all-American beauty best friend, Ellen, by her side, things have always worked…until Will takes a job at Harpy’s, the local fast-food joint. There she mee",371,3.9,83838
934,"Love Hacked (Knitting in the City, #3)",Penny Reid,2014,"There are three things you need to know about Sandra Fielding: 1) She makes all her first dates cry, 2) She hasn't been kissed in over two years, and 3) She knows how to knit.  Sandra has difficulty removing her psychotherapist hat. Of her last 30 dates, 29 have ended the same way: the man sobbing uncontrollably. After one such disaster, Sandra gives in to a seemingly harm",402,4.12,24306
935,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,"The land of Terre d'Ange is a place of unsurpassing beauty and grace. It is said that angels found the land and saw it was good... and the ensuing race that rose from the seed of angels and men live by one simple rule: Love as thou wilt. Phèdre nó Delaunay is a young woman who was born with a scarlet mote in her left eye. Sold into indentured servitude as a child, her bond",1040,4.01,77268
936,Twenties Girl (Hardcover),Sophie Kinsella,2009,,,3.85,161930
937,Alone With You in the Ether (Hardcover),Olivie Blake,2020,,,4.2,18789
938,Ain't She Sweet? (Paperback),Susan Elizabeth Phillips,2004,,,4.08,23538
939,The Falling in Love Montage (Hardcover),Ciara Smyth,2020,,,3.89,18347
940,Mine to Possess (Psy-Changeling #4),Nalini Singh,2008,"
Nalini Singh pulls away another dark layer of sheer desire, revealing passions unknown, in her latest novel about the world of the Psy. A ghost returns from a leopard changeling’s past, making him question everything—even his base animal instincts . . .
Clay Bennett is a powerful DarkRiver sentinel, but he grew up in the slums with his human mother, never knowing his ch",328,4.08,30154
941,"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn,1999,"She’s trying to follow the rules…When Elizabeth Hotchkiss stumbles upon a copy of How to Marry a Marquis in her employer’s library, she’s convinced someone is playing a cruel joke. With three younger siblings to support, she knows she has to marry for money, but who might have guessed how desperate she’s become? A guidebook to seduction might be just the thing she needs—an",375,4.04,20497
942,"First Drop of Crimson (Night Huntress World, #1)",Jeaniene Frost,2010,The night is not safe for mortals.Denise MacGregor knows all too well what lurks in the shadows – her best friend is half-vampire Cat Crawfield – and she has already lost more than the average human could bear. But her family’s dark past is wrapped in secrets and shrouded in darkness – and a demon shapeshifter has marked Denise as prey. Now her survival depends on an immor,371,4.14,56219
943,"Battle Royal (Palace Insiders, #1)",Lucy  Parker,2021,"Beloved author Lucy Parker pens a delicious new romantic comedy that is a battle of whisks and wits.Ready…Four years ago, Sylvie Fairchild charmed the world as a contestant on the hit baking show, Operation Cake. Her ingenious, colorful creations captivated viewers and intrigued all but one of the judges, Dominic De Vere, the hottest pastry chef in London. When her glitter",397,3.84,8793
944,"Unveiled (Turner, #1)",Courtney Milan,2011,"Ash Turner has waited a lifetime to seek revenge on the man who ruined his family - and now the time for justice has arrived. At Parford Manor, he intends to take his place as the rightful heir to the dukedom and settle an old score with the current duke once and for all. But instead he finds himself drawn to a tempting beauty who has the power to undo all his dreams of ve",384,3.86,9105
945,The Summer of Broken Rules (Hardcover),K.L. Walther,2021,,,4.07,28866
946,Much Ado About You (Kindle Edition),Samantha Young,2021,,,3.67,15445
947,"Hothouse Flower (Calloway Sisters, #2)",Krista Ritchie,2014,,,4.33,39279
948,"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,2010,,,4.44,78949
949,"Sweet Evil (Sweet, #1)",Wendy Higgins,2012,,,4.07,76883
950,The Blue Castle (Mass Market Paperback),L.M. Montgomery,1926,,,4.29,36734
951,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,,,4.15,58490
952,"These Old Shades (Alastair-Audley, #1)",Georgette Heyer,1926,,,4.09,18068
953,"Dark Needs at Night's Edge (Immortals After Dark, #4)",Kresley Cole,2008,,,4.29,49180
954,"The Opportunist (Love Me with Lies, #1)",Tarryn Fisher,2011,,,4.2,51392
955,"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,2010,,,4.08,124451
956,"Something Blue (Darcy & Rachel, #2)",Emily Giffin,2005,,,3.94,213771
957,"Own the Wind (Chaos, #1)",Kristen Ashley,2013,,,4.2,47464
958,"Firelight (Darkest London, #1)",Kristen Callihan,2012,,,3.77,16432
959,"Addicted for Now (Addicted, #3)",Krista Ritchie,2013,,,4.26,42708
960,"Beard in Mind (Winston Brothers, #4)",Penny Reid,2017,"NEW YORK TIMES, WALL STREET JOURNAL, & USA TODAY bestselling seriesSemi Finalist: Goodreads Choice Awards, Best Romance 2017All is fair in love and auto maintenance.  Beau Winston is the nicest, most accommodating guy in the world. Usually.  Handsome as the devil and twice as charismatic, Beau lives a charmed life as everyone’s favorite Winston Brother. But since his twin ",393,4.2,22558
961,"The Best Man (Blue Heron, #1)",Kristan Higgins,2013,,,3.93,27147
962,"Changeless (Parasol Protectorate, #2)",Gail Carriger,2010,"Alexia Maccon, the Lady Woolsey, awakens in the wee hours of the mid-afternoon to find her husband, who should be decently asleep like any normal werewolf, yelling at the top of his lungs. Then he disappears; leaving her to deal with a regiment of supernatural soldiers encamped on her doorstep, a plethora of exorcised ghosts, and an angry Queen Victoria.But Alexia is armed",389,3.99,44786
963,"Bittersweet (True North, #1)",Sarina Bowen,2016,"The new series is set in Vermont. True North is populated by the tough, outdoorsy mountain men that populate the Green Mountain State. They raise cows and they grow apples. They chop a lot of wood, especially when they need to blow off steam. (Beards are optional but encouraged.)If you can’t stand the heat, get out of the orchard.The last person Griffin Shipley expects to ",348,4.04,19508
964,The Best Thing (Kindle Edition),Mariana Zapata,2019,,,3.99,27936
965,The Obsession (Hardcover),Nora Roberts,2016,"“She stood in the deep, dark woods, breath shallow and cold prickling over her skin despite the hot, heavy air. She took a step back, then two, as the urge to run fell over her.”  Naomi Bowes lost her innocence the night she followed her father into the woods. In freeing the girl trapped in the root cellar, Naomi revealed the horrible extent of her father’s crimes and made",453,4.21,71821
966,"The Mighty Storm (The Storm, #1)",Samantha Towle,2012,"It's been twelve years since Tru Bennett last saw Jake Wethers, her former best friend and boy she once loved.Jake Wethers, sexy, tattooed and deliciously bad lead singer, and brains behind The Mighty Storm, one of the biggest bands in the world, left Tru with a broken heart when he moved from England to America with his family when they were both fourteen.Sent to intervie",442,4.16,72206
967,A Lady for a Duke (Paperback),Alexis  Hall,2022,,,4.21,6029
968,Opposite of Always (Kindle Edition),Justin A. Reynolds,2019,"Debut author Justin A. Reynolds delivers a hilarious and heartfelt novel about the choices we make, the people we choose, and the moments that make a life worth reliving.When Jack and Kate meet at a party, bonding until sunrise over their mutual love of Froot Loops and their favorite flicks, Jack knows he’s falling—hard. Soon she’s meeting his best friends, Jillian and Fra",451,3.67,22288
969,"Wildest Dreams (Fantasyland, #1)",Kristen Ashley,2011,,,4.07,31819
970,"Dance of the Gods (Circle Trilogy, #2)",Nora Roberts,2006,"Combining elements of the supernatural with gripping suspense and seduction, #1 New York Times bestselling author Nora Roberts presents the second novel in her Circle Trilogy… He saw where the earth was scorched, where it was trampled. He saw his own hoofprints left in the sodden earth when he’d galloped through the battle in the form of a horse. And he saw the woman who’d",321,4.16,29877
971,"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,2011,,,4.11,96160
972,"Faking It (Losing It, #2)",Cora Carmack,2013,"Mackenzie “Max” Miller has a problem. Her parents have arrived in town for a surprise visit, and if they see her dyed hair, tattoos, and piercings, they just might disown her. Even worse, they’re expecting to meet a nice, wholesome boyfriend, not a guy named Mace who has a neck tattoo and plays in a band. All her lies are about to come crashing down around her, but then sh",325,3.93,34437
973,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,2013,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scatter",457,4.02,433565
974,Mr. Perfect (Mass Market Paperback),Linda Howard,2000,"What would make the perfect man?  That's the deliciously racy topic that Jaine Bright and her three girlfriends are pondering one night at their favorite after-hours hot spot: Mr. Perfect. Would he be tall, dark, and handsome? Caring and warmhearted -- or will just muscular do? As their conversation heats up, they concoct a tongue-in-cheek checklist that becomes an overnig",405,4.06,34063
975,Honor's Splendour (Mass Market Paperback),Julie Garwood,1987,"This classic medieval romance from New York Times bestselling author Julie Garwood is a fan favorite—a beautiful lady needs rescue from a knight in shining armor, and gets an alpha warrior instead.In the feuding English court, gentle Lady Madelyne suffered the cruel whims of her ruthless brother, Baron Louddon. Then, in vengeance for a bitter crime, Baron Duncan of Wexton—",374,4.23,31123
976,"Lady Sophia's Lover (Bow Street Runners, #2)",Lisa Kleypas,2002,"Why is Lady Sophia looking for a lover? And could she seduce the most marriageable man in London?Lady Sophia Sydney would do anything to ensnare the unattainable Sir Ross Cannon. Her goal: to ruin his reputation and cause a scandal that would be the talk of all London. So she insinuates herself into his life by gaining his trust and living in his house.Every morning, her l",377,3.96,19157
977,Fight or Flight (Paperback),Samantha Young,2018,"
A series of chance encounters leads to a sizzling new romance from the 

New York Times

 bestselling author of the On Dublin Street series. 
The universe is conspiring against Ava Breevort. As if flying back to Phoenix to bury a childhood friend wasn't hell enough, a cloud of volcanic ash traveling from overseas delayed her flight back home to Boston. Her las",288,3.73,21971
978,The Baller (Kindle Edition),Vi Keeland,2016,"From New York Times & USA Today Bestseller, Vi Keeland, comes a sexy new standalone novel.The first time I met Brody Easton was in the men's locker room.It was my first interview as a professional sportscaster.The famed quarterback decided to bare all.And by all, I don't mean he told me any of his secrets.No. The arrogant ass decided to drop his towel, just as I asked the ",285,4.03,44153
979,"A Girl Like Her (Ravenswood, #1)",Talia Hibbert,2018,,,3.87,8220
980,The Unexpected Everything (Hardcover),Morgan Matson,2016,"Andie had it all planned out. When you are a politician’s daughter who’s pretty much raised yourself, you learn everything can be planned or spun, or both. Especially your future. Important internship? Check. Amazing friends? Check. Guys? Check (as long as we’re talking no more than three weeks).But that was before the scandal. Before having to be in the same house with he",519,4.0,38823
981,"Sustained (The Legal Briefs, #2)",Emma Chase,2015,,,4.28,29349
982,"Once and Always (Sequels, #1)",Judith McNaught,1987,,,4.18,25997
983,"Wild Man (Dream Man, #2)",Kristen Ashley,2011,"She's about to walk on the wild side . . . While filling the display case in her bakery, the bell over the door sounds and Tessa O'Hara looks up to see the man of her dreams. Within thirty seconds he asks her out for a beer. But after four months of dating, she discovers he's an undercover DEA agent-and he's investigating her possible role in her ex-husband's drug business",528,4.19,42456
984,"Hostage to Pleasure (Psy-Changeling, #5)",Nalini Singh,2008,,,4.18,30702
985,Hands Down (Kindle Edition),Mariana Zapata,2020,,,3.96,32373
986,"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",Amy Harmon,2016,,,4.2,36320
987,"Once Upon a Winter's Eve (Spindle Cove, #1.5)",Tessa Dare,2011,"Some wallflowers bloom at night... A Spindle Cove NovellaViolet Winterbottom is a quiet girl. She speaks six languages, but seldom raises her voice. She endured bitter heartbreak in perfect silence. The gentlemen aren't beating down her door. Until the night of the Spindle Cove Christmas ball, when a mysterious stranger crashes into the ballroom and collapses at Violet's f",113,3.59,11582
988,The Scorpio Races (Hardcover),Maggie Stiefvater,2011,"It happens at the start of every November: the Scorpio Races. Riders attempt to keep hold of their water horses long enough to make it to the finish line. Some riders live. Others die.At age nineteen, Sean Kendrick is the returning champion. He is a young man of few words, and if he has any fears, he keeps them buried deep, where no one else can see them.Puck Connolly is d",409,4.08,105997
989,"Shelter Mountain (Virgin River, #2)",Robyn Carr,2007,,,4.17,37378
990,Conversations with Friends (Kindle Edition),Sally Rooney,2017,"A sharply intelligent novel about two college students and the strange, unexpected connection they forge with a married couple.Frances is twenty-one years old, cool-headed, and darkly observant. A college student and aspiring writer, she devotes herself to a life of the mind--and to the beautiful and endlessly self-possessed Bobbi, her best friend and comrade-in-arms. Love",304,3.81,338938
991,My Not So Perfect Life (Paperback),Sophie Kinsella,2017,,,3.8,111635
992,"Wrong (Cafe, #1)",Jana Aston,2015,,,3.84,43621
993,"Lothaire (Immortals After Dark, #11)",Kresley Cole,2012,"Number-one New York Times best-selling author Kresley Cole continues her electrifying Immortals After Dark series with this thrilling tale, revealing secrets of the Lore, fierce realm of the immortals....All fear the enemy of old.Driven by his insatiable need for revenge, Lothaire, the Lore’s most ruthless vampire, plots to seize the Horde’s crown. But bloodlust and tortur",468,4.38,44918
994,"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,2007,,,3.99,20804
995,"Smaragdgrün (Edelstein-Trilogie, #3)",Kerstin Gier,2010,,,4.19,88106
996,The Holiday Swap (Kindle Edition),Maggie Knox,2021,"A feel-good, holiday-themed romantic comedy about identical twins who switch lives in the days leading up to Christmas--perfect for fans of Christina Lauren's In a Holidaze and Josie Silver's One Day in December. All they want for Christmas is a different life. When chef Charlie Goodwin gets hit on the head on the L.A. set of her reality baking show, she loses a lot more t",351,3.61,36104
997,"The Stopover (The Miles High Club, #1)",T.L. Swan,2019,"
A memorable night of passion refuses to stay just a memory in this sizzling and scandalous romance from bestselling author T L Swan.
I was upgraded to first class on a flight from London to New York.The food, champagne, and service were impeccable. The blue-eyed man sitting next to me, even better. He was suave and intelligent. We talked and laughed, and something click",521,4.1,83232
998,Midnight Bayou (Mass Market Paperback),Nora Roberts,2001,"#1 New York Times bestselling author Nora Roberts presents a novel set deep in the bayou of Louisiana—where the only witness to a long-ago tragedy is a once-grand house… Declan Fitzgerald had always been the family maverick, but even he couldn't understand his impulse to buy a dilapidated mansion on the outskirts of New Orleans. All he knew was that ever since he first saw",338,3.99,33186
999,Lady Chatterley's Lover (Hardcover),D.H. Lawrence,1928,"Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of its central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.",376,3.51,111798
1000,"Big Rock (Big Rock, #1)",Lauren Blakely,2016,,,3.93,32326
1001,The Silver Linings Playbook (Paperback),Matthew Quick,2008,"Meet Pat. Pat has a theory: his life is a movie produced by God. And his God-given mission is to become physically fit and emotionally literate, whereupon God will ensure a happy ending for him — the return of his estranged wife, Nikki. (It might not come as a surprise to learn that Pat has spent time in a mental health facility.) The problem is, Pat's now home, and everyt",291,3.98,154784
1002,"Hate to Want You (Forbidden Hearts, #1)",Alisha Rai,2017,"One night. No one will know. That was the deal. Every year, Livvy Kane and Nicholas Chandler would share one perfect night of illicit pleasure. The forbidden hours let them forget the tragedy that haunted their pasts—and the last names that made them enemies. Until the night she didn’t show up. Now Nicholas has an empire to run. He doesn’t have time for distractions and Li",371,3.72,6516
1003,"Once Ghosted, Twice Shy (Reluctant Royals, #2.5)",Alyssa Cole,2019,"Alyssa Cole returns with a fun, sexy romance novella in the Reluctant Royals series!While her boss the prince was busy wooing his betrothed, Likotsi had her own love affair after swiping right on a dating app. But her romance had ended in heartbreak, and now, back in NYC again, she's determined to rediscover her joy--so of course she runs into the woman who broke her heart",101,3.79,4714
1004,"Worth Any Price (Bow Street Runners, #3)",Lisa Kleypas,2003,"Alternate cover edition of ISBN  9780380811076Nick Gentry is reputed to be the most skillful lover in all England. Known for solving delicate situations, he is hired to seek out Miss Charlotte Howard. He believes his mission will be easily accomplished - but that was before he met the lady in question.For instead of a willful female, he discovers one in desperate circumsta",388,4.02,19683
1005,"Hero (Hero, #1)",Samantha Young,2015,,,4.05,32391
1006,"Something Wonderful (Sequels, #2)",Judith McNaught,1988,,,4.31,28330
1007,Anyone But You (Mass Market Paperback),Jennifer Crusie,1996,"For Nina Askew, turning forty means freedom--from the ex-husband, freedom from their stuffy suburban home, freedom to focus on what she wants for a change. And what she wants is something her ex always vetoed--a puppy. A bouncy, adorable puppy. Instead she gets...Fred.Overweight, middle-aged, a bit smelly and obviously depressed, Fred is light-years from perky. But he does",283,3.81,20167
1008,"Branded by Fire (Psy-Changeling, #6)",Nalini Singh,2009,,,4.26,31242
1009,Catching Jordan (Paperback),Miranda Kenneally,2011,"ONE OF THE BOYSWhat girl doesn't want to be surrounded by gorgeous jocks day in and day out? Jordan Woods isn't just surrounded by hot guys, though-she leads them as the captain and quarterback of her high school football team. They all see her as one of the guys and that's just fine. As long as she gets her athletic scholarship to a powerhouse university.But everything sh",288,3.84,61749
1010,"The Darkest Kiss (Lords of the Underworld, #2)",Gena Showalter,2008,"She has tempted many men...but never found her equal. Until now.Though she has lived for centuries, Anya, goddess of Anarchy, has never known pleasure. Until Lucien, the incarnation of death—a warrior eternally doomed to take souls to the hereafter. He draws her like no other. And Anya will risk anything to have him.But when the merciless Lord of the Underworld is ordered ",384,4.24,54250
1011,"Rhythm, Chord & Malykhin (Kindle Edition)",Mariana Zapata,2015,,,3.96,26860
1012,"Valley of Silence (Circle Trilogy, #3)",Nora Roberts,2006,,,4.24,28563
1013,"Hooked (Never After, #1)",Emily McIntire,2021,,,3.9,57684
1014,"Rusty Nailed (Cocktail, #2)",Alice Clayton,2014,"In this sequel to Wallbanger, the second book in the Cocktail series, fan favorites Caroline and Simon negotiate the rollercoaster of their new relationship while house-sitting in San Francisco.Playing house was never so much fun—or so confusing. With her boss on her honeymoon, Caroline’s working crazy long hours to keep the interior design company running—especially since",288,3.93,32335
1015,"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,2004,"Bride McTierney has had it with men. They're cheap, self-centered, and never love her for who she is. But though she prides herself on being independent, deep down she still yearns for a knight in shining armor.She just never expected her knight in shining armor to have a shiny coat of fur...Deadly and tortured, Vane Kattalakis isn't what he seems. Most women lament that t",362,4.34,53073
1016,Yes No Maybe So (ebook),Becky Albertalli,2020,,,3.77,22879
1017,Just Haven't Met You Yet (Paperback),Sophie Cousens,2021,"From the New York Times bestselling author of This Time Next Year comes a heartwarming and hilarious tale that asks: What if you pick up the wrong suitcase in an airport, only to fall head over heels for its unseen owner?Laura's business trip to the Channel Islands isn't exactly off to a great start. After unceremoniously dumping everything in her bag in front of the most ",371,3.81,35118
1018,"To Sir, with Love (Paperback)",Lauren Layne,2021,"Romantic comedy following two thirty-somethings who meet on a blind dating app—only to realize that their online chemistry is nothing compared to their offline rivalry.Perpetually cheerful and eager to please, Gracie Cooper strives to make the best out of every situation. So when her father dies just five months after a lung cancer diagnosis, she sets aside her dreams of p",288,3.85,18958
1019,Let's Talk About Love (ebook),Claire Kann,2018,,,3.73,9914
1020,"Uglies (Uglies, #1)",Scott Westerfeld,2005,"Tally is about to turn sixteen, and she can't wait. In just a few weeks she'll have the operation that will turn her from a repellent ugly into a stunning pretty. And as a pretty, she'll be catapulted into a high-tech paradise where her only job is to have fun.But Tally's new friend Shay isn't sure she wants to become a pretty. When Shay runs away, Tally learns about a who",425,3.85,622785
1021,Words in Deep Blue (Hardcover),Cath Crowley,2016,"Years ago, Rachel had a crush on Henry Jones. The day before she moved away, she tucked a love letter into his favorite book in his family’s bookshop. She waited. But Henry never came.  Now Rachel has returned to the city—and to the bookshop—to work alongside the boy she’d rather not see, if at all possible, for the rest of her life. But Rachel needs the distraction, and t",273,4.04,32724
1022,"The Luxe (Luxe, #1)",Anna Godbersen,2007,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure,",433,3.64,71900
1023,"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis  Hall,2021,"Following the recipe is the key to a successful bake. Rosaline Palmer has always lived by those rules—well, except for when she dropped out of college to raise her daughter, Amelie. Now, with a paycheck as useful as greaseproof paper and a house crumbling faster than biscuits in tea, she’s teetering on the edge of financial disaster. But where there’s a whisk there’s a way",449,3.93,8614
1024,"The Legacy (Off-Campus, #5)",Elle Kennedy,2021,,,3.76,51832
1025,"Intercepted (Playbook, #1)",Alexa  Martin,2018,,,3.75,11474
1026,Everything Leads to You (Hardcover),Nina LaCour,2014,,,3.85,32061
1027,The Prize (Mass Market Paperback),Julie Garwood,1991,"Librarian's Note: Alternate cover for this ISBN can be found here.In the resplendence of William the Conqueror's London court, the lovely Saxon captive Lady Nicholaa was forced to choose a husband from the assembled Norman nobles. She chose Royce, a baron warrior whose fierce demeanor could not conceal his chivalrous and tender heart. A resourceful, rebellious and utterly ",408,4.22,29102
1028,"Rival (Fall Away, #2)",Penelope Douglas,2014,,,4.06,44757
1029,"Long Shot (Hoops, #1)",Kennedy Ryan,2018,"A Standalone FORBIDDEN LOVE SET IN THE EXPLOSIVE WORLD OF THE NBA...Think you know what it's like being a baller's girl?You don't.My fairy tale is upside down.A happily never after.I kissed the prince and he turned into a fraud.I was a fool, and his love - fool's gold.Now there's a new player in the game, August West. One of the NBA's brightest stars.Fine. Forbidden. He wa",493,4.22,27183
1030,"The Unwanted Wife (Unwanted, #1)",Natasha Anders,2012,,,3.87,39577
1031,"Kiss of Snow (Psy-Changeling, #10)",Nalini Singh,2011,,,4.45,30080
1032,Wedding Night (Paperback),Sophie Kinsella,2013,,,3.45,90221
1033,What Happened to Goodbye (Hardcover),Sarah Dessen,2011,,,3.95,86445
1034,"Bloodlines (Bloodlines, #1)",Richelle Mead,2011,,,4.19,180768
1035,The Lover's Dictionary (Hardcover),David Levithan,2011,"There has to be a moment at the beginning when you wonder whether you're in love with the person or in love with the feeling of love itself.If the moment doesn't pass, that's it―you're done. And if the moment does pass, it never goes that far. It stands in the distance, ready for whenever you want it back. Sometimes it's even there when you thought you were searching for s",211,3.88,44871
1036,Accidentally Engaged (Paperback),Farah Heron,2021,,,3.74,10617
1037,"Dirty (Dive Bar, #1)",Kylie Scott,2016,"
Love—on the rocks….
The last thing Vaughan Hewson expects to find when he returns to his childhood home is a broken hearted bride in his shower, let alone the drama and chaos that come with her.Lydia Green doesn't know whether to scream or cry in a corner. Discovering the love of your life is having an affair on your wedding day is bad enough. Finding out it's with his ",275,3.89,25954
1038,"The Hooker and the Hermit (Rugby, #1)",L.H. Cosway,2015,,,3.91,26872
1039,"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim,2019,,,4.0,44639
1040,"A Prince on Paper (Reluctant Royals, #3)",Alyssa Cole,2019,,,4.04,5598
1041,Saving Grace (Paperback),Julie Garwood,1993,"When Lady Johanna learned that she was a widow, she vowed she would never marry again. Only sixteen, already she possessed a strength of will that impressed all who looked past her golden-haired beauty. Yet when King John demanded that she remarry and selected a bridegroom for her—it seemed she must acquiesce, until her beloved foster brother suggested she wed his friend, ",407,4.25,26972
1042,"Release Me (Stark Trilogy, #1)",J. Kenner,2013,,,4.12,77852
1043,"Stargirl (Stargirl, #1)",Jerry Spinelli,2000,"A celebration of nonconformity; a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love. Ages 12+Leo Borlock follows the unspoken rule at Mica Area High School: don't stand out--under any circumstances! Then Stargirl arrives at Mica High and everything changes--for Leo and for the entire school. After 15 years of",186,3.77,317010
1044,"Daring to Dream (Dream Trilogy, #1)",Nora Roberts,1996,"Margo, Kate and Laura were brought up like sisters amidst the peerless grandeur of Templeton House. But it was Margo whose dreams first took her far away . . . Margo Sullivan had everything a young woman could ask for. But while growing up along the rocky cliffs of Monterey, she couldn't help but dream of bigger things. The daughter of the Templeton's stern Irish housekeep",376,4.04,25394
1045,"Falling into You (Falling, #1)",Jasinda Wilder,2013,"I wasn't always in love with Colton Calloway; I was in love with his younger brother, Kyle, first. Kyle was my first one true love, my first in every way.Then, one stormy August night, he died, and the person I was died with him. Colton didn't teach me how to live. He didn't heal the pain. He didn't make it okay. He taught me how to hurt, how to not be okay, and, eventuall",240,4.03,53083
1046,"Archangel's Consort (Guild Hunter, #3)",Nalini Singh,2011,"Nalini Singh steps back into the shadows of her “heartbreakingly original”* world where angels rule, vampires serve, and the innocent can pay the greatest price of all…Vampire hunter Elena Deveraux and her lover, the lethally beautiful archangel Raphael, have returned home to New York only to face an uncompromising new evil…A vampire has attacked a girls’ school—the assaul",324,4.22,41665
1047,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,2012,"When Ruby woke up on her tenth birthday, something about her had changed. Something alarming enough to make her parents lock her in the garage and call the police. Something that gets her sent to Thurmond, a brutal government “rehabilitation camp.” She might have survived the mysterious disease that’s killed most of America’s children, but she and the others have emerged w",488,4.16,176313
